local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
103.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.546612977981567
207.8,0.0,0.00040633694304892674,0.0,2.5035000000000003,0.00040633694304892674,77.1,13.9,0.0,20.546612977981567
215.8,77.1,0.0004820683657527753,0.0,3.3810000000000002,0.0004820683657527753,79.4,12.6,0.0,20.546612977981567
226.8,156.5,0.0003397629454763851,0.006977838551361729,4.11,0.0005490981020172369,45.6,13.8,28.2,20.546612977981567
264.8,173.9,0.00015702167868714763,0.02225869520286033,4.3285,0.0008247825347729576,38.1,2.7,109.3,20.546612977981567
324.3,102.7,0.0005602825547355238,0.002856026806487703,4.531000000000001,0.0006459633589301549,64.9,20.3,25.1,20.546612977981567
336.7,142.5,0.0004965958341399281,0.0032077208346919543,5.074,0.0005928274591806867,66.7,22.9,20.9,20.546612977981567
347.3,188.3,0.0007572392408089384,0.002284289853881103,5.6375,0.0008257679364253714,84.3,22.9,19.3,20.546612977981567
338.6,253.3,0.0002756230131367019,0.044836912858539496,5.7385,0.001620730398892887,29.6,7.5,126.1,20.546612977981567
399.0,156.8,0.0008165003319488154,0.003772827267215845,5.8035,0.0009296851499652906,81.1,21.4,29.1,20.546612977981567
396.1,208.8,0.0007236596060535165,0.006953986089821095,6.2620000000000005,0.0009322791887481493,59.1,25.7,26.5,20.546612977981567
406.1,241.4,0.0004289147818897708,0.035943080858802115,6.3715,0.001507207207653834,65.5,9.8,105.5,20.546612977981567
425.4,201.4,0.00042996004739773066,0.02575431393141665,6.2035,0.0012025894653402301,59.9,6.6,106.9,20.546612977981567
459.5,154.4,0.0009231027414603038,0.003416314059242938,6.382,0.001025592163237592,82.9,27.8,22.2,20.546612977981567
447.4,215.1,0.0010372669647930116,0.003346119276340243,6.8895,0.0011376505430832188,89.8,26.0,22.1,20.546612977981567
432.6,282.8,0.00037538871012313466,0.05323779217528616,6.9305,0.0019725224753817197,42.1,3.7,142.0,20.546612977981567
487.8,182.9,0.0011567830744340529,0.0032075656017578487,6.968000000000001,0.0012530100424867883,80.6,27.5,21.4,20.546612977981567
480.8,242.1,0.0003703869183462723,0.04247301933216509,7.039500000000001,0.0016445774983112251,48.1,0.0,143.1,20.546612977981567
537.9,147.1,0.0010275301699351148,0.00761559995440055,7.014,0.0012559981685671315,82.2,21.8,43.5,20.546612977981567
532.0,185.8,0.0012349110258521147,0.0032033492002902864,7.392000000000001,0.0013310115018608233,72.6,29.3,21.5,20.546612977981567
523.7,236.9,0.0004871494147032628,0.037717010439354104,7.4485,0.001618659727883886,58.4,3.6,129.8,20.546612977981567
563.6,165.5,0.0012535182753018724,0.0032919479606875203,7.539500000000001,0.0013522767141224982,84.7,30.5,21.5,20.546612977981567
550.1,228.7,0.0012678459132125723,0.004500755763113171,8.024,0.0014028685861059674,91.2,29.4,24.3,20.546612977981567
530.4,295.6,0.0005408744563710087,0.051775163279881284,8.051,0.0020941293547674473,39.3,8.0,128.7,20.546612977981567
578.0,206.2,0.0011826397688739167,0.008285667778026912,8.049000000000001,0.001431209802214724,82.1,26.5,37.4,20.546612977981567
574.7,250.9,0.0013043959220158522,0.0013598833969218072,8.548,0.0013451924239235064,78.3,34.5,10.3,20.546612977981567
565.1,318.9,0.0006101228051260164,0.05550395355559529,8.640999999999998,0.002275241411793875,69.4,7.9,132.9,20.546612977981567
588.8,255.4,0.0012648782373363484,0.002874520011223535,8.678,0.0013511138376730543,82.5,34.4,13.2,20.546612977981567
566.7,324.7,0.0007119780243027864,0.061894595896809346,8.743,0.0025688159012070668,54.6,12.6,124.0,20.546612977981567
601.9,255.3,0.0007177487642668651,0.04093042645934797,8.416,0.0019456615580473041,68.8,8.8,121.1,20.546612977981567
623.0,203.0,0.000794619302001804,0.026176372049123653,8.171,0.0015799104634755135,69.3,8.5,107.8,20.546612977981567
643.7,164.5,0.0016002445172592558,0.003772343514123755,8.2955,0.0017134148226829685,85.1,31.9,22.9,20.546612977981567
624.2,226.7,0.0007132812735949499,0.035291455990875506,8.366000000000001,0.0017720249533212155,67.8,7.8,115.2,20.546612977981567
643.0,179.3,0.0012507337573513474,0.010999176820200626,8.365,0.0015807090619573663,88.6,23.6,50.7,20.546612977981567
633.5,217.2,0.001523437026146778,0.004088528179191575,8.703,0.001646092871522525,87.4,31.8,23.5,20.546612977981567
608.8,281.1,0.0006180547123593126,0.04906319276985064,8.685,0.0020899504954548314,66.5,8.3,132.4,20.546612977981567
631.9,215.2,0.0011156224487975093,0.0013943098159396958,8.742,0.0011574517432757004,84.1,36.2,10.4,20.546612977981567
612.4,288.9,0.0007490145899434507,0.04960284492289903,8.870000000000001,0.0022370999376304214,74.6,8.2,123.3,20.546612977981567
632.5,240.2,0.0008077912189166089,0.034442881423767585,8.608500000000001,0.001841077661629636,69.2,8.4,113.8,20.546612977981567
653.4,195.6,0.001778639122463638,0.001982523644247401,8.7685,0.0018381148317910601,84.8,36.6,11.7,20.546612977981567
636.0,268.7,0.00071575194124149,0.053896811030053796,8.8215,0.0023326562721431034,72.1,4.4,135.6,20.546612977981567
654.4,205.2,0.0006994555751760775,0.03514931339003617,8.433000000000002,0.0017539349768771629,66.7,0.0,130.1,20.546612977981567
685.2,141.8,0.0015819346270637548,0.003878672394925703,8.440000000000001,0.001698294798911526,95.6,28.9,30.3,20.546612977981567
653.9,207.1,0.0012085085859976355,0.0015527311218945354,8.8835,0.0012550905196544715,88.9,36.6,10.7,20.546612977981567
630.4,285.3,0.000711009899750012,0.0559277378959014,8.973999999999998,0.0023888420366270538,68.9,3.9,131.0,20.546612977981567
655.9,223.2,0.0008416466415496277,0.03877212960514535,8.6665,0.002004810529703988,68.2,9.0,115.4,20.546612977981567
678.2,176.0,0.0010047408834662854,0.02167035695895956,8.5325,0.0016548515922350723,75.1,13.7,89.7,20.546612977981567
690.9,161.4,0.0017834647355189556,0.0028984913271257735,8.709,0.001870419475332729,94.8,33.1,20.7,20.546612977981567
654.0,235.5,0.0006867657891372364,0.04004960063104936,8.753,0.0018882538080687177,61.3,4.0,128.1,20.546612977981567
692.4,168.7,0.0008550345796861132,0.021365621186315933,8.548000000000002,0.0014960032152755913,80.9,4.3,107.6,20.546612977981567
706.5,142.0,0.0017144850277663495,0.0028060826848641555,8.735499999999998,0.0017986675083122739,100.1,34.3,20.8,20.546612977981567
677.3,221.3,0.0007897987066243266,0.03910264750526922,8.8255,0.001962878131782403,68.7,3.9,123.7,20.546612977981567
700.2,166.3,0.0016987962900159356,0.0048434545371056435,8.852,0.0018440999261291051,91.5,28.1,32.3,20.546612977981567
678.4,225.5,0.0008330138822830454,0.030303146130033914,8.958000000000002,0.0017421082661840629,80.3,8.3,110.0,20.546612977981567
691.9,195.8,0.0007936790406598042,0.02890269703381913,8.7885,0.0016607599516743783,78.2,4.2,119.1,20.546612977981567
715.1,154.9,0.0009006629479751116,0.01953327126179073,8.6495,0.0014866610858288334,78.9,4.3,105.9,20.546612977981567
732.0,127.9,0.0012002621543654953,0.009938217795660993,8.691999999999998,0.0014984086882353252,88.4,12.4,72.2,20.546612977981567
734.4,144.1,0.001884521705797558,0.0031972784939856636,9.045,0.001980440060617128,93.1,34.5,21.5,20.546612977981567
714.8,215.7,0.0008118775627589236,0.03636274091311275,9.189,0.0019027597901523062,71.8,4.0,122.3,20.546612977981567
742.1,165.2,0.0017212030198255162,0.0012250835194506657,9.315,0.001757955525409036,91.2,39.5,9.9,20.546612977981567
