local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0
109.1,0.0,0.0018156628976210727,0.0,1.9636666666666667,0.0018156628976210727,87.0,7.4,0.0
166.4,87.0,0.0021565591327637476,0.025133151249999996,2.912222222222222,0.004669874257763748,77.8,12.3,71.3
242.7,93.5,0.004212132794819816,0.016220028749999997,3.463666666666667,0.005834135669819817,68.5,18.7,67.5
327.4,94.5,0.007323866177393554,0.01484787375,3.266557575757576,0.008808653552393554,115.0,38.4,57.3
337.5,152.2,0.0040829185016723404,0.06677144875,4.436755679200899,0.010760063376672343,98.3,10.0,128.3
386.6,122.2,0.007864924581989636,0.026032261250000004,3.616458437625537,0.010468150706989638,113.5,40.5,70.9
397.4,164.8,0.008965083016833552,0.0184962825,3.3409374000355427,0.010814711266833555,106.4,61.2,46.2
379.0,225.0,0.0026610504700318102,0.1655002975913746,5.292167638875762,0.01921108022916927,76.7,0.0,207.8
456.6,93.9,0.009422897506354767,0.0037324800000000007,3.094491622103387,0.009796145506354768,86.5,82.8,14.4
411.6,166.0,0.00931311967011599,0.03723920000000001,4.009687703571997,0.013037039670115994,82.7,56.2,52.0
449.3,196.7,0.004959349628484888,0.11238402467241329,5.398474485474061,0.016197752095726214,90.9,10.0,156.3
463.1,131.3,0.009766079263611883,0.030504677500000004,4.085869637638383,0.012816547013611884,121.4,54.4,63.8
462.1,188.9,0.010000957575427084,0.0031165562500000002,3.6998340705811854,0.010312613200427083,101.5,75.2,18.5
425.5,271.9,0.00526565578748731,0.16411930290859172,5.430521313616614,0.02167758607834648,84.5,18.1,183.7
453.7,172.7,0.010021513420643216,0.011057891250000002,4.1670599778911015,0.011127302545643217,108.9,64.6,42.3
429.0,239.3,0.005076351961557892,0.13166825562496126,5.516296775854505,0.01824317752405402,91.1,17.5,175.1
451.1,155.3,0.010161503652359398,0.01705691,3.8571256282528994,0.011867194652359397,111.5,75.3,35.8
439.8,231.0,0.006386068527972959,0.11867250030417364,5.70060046575876,0.01825331855839032,73.1,19.9,156.7
510.7,147.4,0.009421191733539423,0.05417619875,5.070883772692656,0.014838811608539424,110.3,38.9,100.9
544.8,156.8,0.011496598871053157,0.026146260000000004,4.309570445244871,0.014111224871053157,102.8,69.3,56.4
552.1,203.2,0.008890127139231731,0.1084083527550348,5.265096144189475,0.019730962414735213,97.5,39.8,125.0
619.4,175.7,0.010527881402616655,0.06355608875,5.347239868479582,0.01688349027761666,115.8,38.4,120.7
622.5,170.8,0.011736169840947932,0.02848986,4.471695526442851,0.014585155840947935,112.9,70.0,58.8
540.1,224.9,0.00855114098060882,0.10440065847284533,5.432907843026658,0.018991206827893358,112.1,36.9,137.8
532.8,199.2,0.00984168254076576,0.07099389000000002,5.364502871883065,0.016941071540765757,96.9,39.8,112.8
544.3,183.3,0.010821032128982364,0.033592195000000005,4.834740033449444,0.014180251628982368,109.9,58.4,75.2
514.2,218.0,0.010522291364356482,0.06713078624999999,5.263299111966331,0.017235369989356486,120.6,48.2,109.5
439.6,229.1,0.004378824807039546,0.14504506991699787,6.370847536513482,0.01888333179873933,94.9,10.0,199.5
487.9,124.5,0.010382367596431099,0.00957109875,5.284690287653629,0.0113394774714311,109.2,49.4,51.9
454.5,181.8,0.008445143406508922,0.06926709113507006,5.234744707436536,0.01537185252001593,93.1,45.0,107.4
477.9,167.5,0.006802508227286307,0.08915121000000001,5.813136912777903,0.015717629227286308,111.9,25.4,145.8
509.3,133.6,0.010521012022223965,0.018672945000000003,5.501891216002205,0.012388306522223964,117.5,39.3,69.6
512.2,181.5,0.009866753884664719,0.048466151250000006,5.224615922249627,0.014713369009664723,116.1,47.3,98.7
447.6,198.9,0.010712427524662957,0.018229521250000002,4.678813560538366,0.012535379649662958,107.4,67.3,50.3
435.4,256.0,0.004284140535376892,0.17605277875000003,6.381303015334403,0.021889418410376896,81.1,10.0,215.9
447.4,121.2,0.009895401630864158,0.008986397500000002,5.0436449722148655,0.010794041380864159,109.9,56.7,48.2
462.6,182.9,0.010071093276126087,0.009156138750000003,4.432297623443473,0.010986707151126087,110.7,69.8,29.7
465.1,263.9,0.005228121598622309,0.17826836743568758,6.399672796867581,0.023054958342191064,77.3,10.0,199.2
504.6,142.0,0.011030082066520019,0.009921082500000001,4.7241973716616386,0.012022190316520019,115.4,67.9,41.4
451.1,216.0,0.009138901488107457,0.10419079625000002,5.310786445307981,0.01955798111310746,90.1,47.7,103.3
446.6,202.8,0.010719424829049412,0.027171573581595714,4.460887380388423,0.013436582187208983,103.9,75.4,38.1
419.7,268.6,0.0038161712994592687,0.17558238867352566,6.454039388358973,0.021374410166811835,83.8,10.0,209.3
447.6,143.1,0.010631059493538784,0.011084187500000002,4.9877592163762445,0.011739478243538784,112.7,56.8,51.4
416.2,204.4,0.010062627353070133,0.00959337,4.765063640388936,0.011021964353070133,104.1,64.5,40.2
378.8,268.3,0.0032942411155114726,0.22709482158796815,6.114810385763676,0.026003723274308294,60.7,19.0,225.9
481.8,103.1,0.011067816222827664,0.006554590000000001,5.0816535634800335,0.011723275222827663,112.1,58.9,37.4
450.6,177.8,0.010240329544756397,0.03898356594447908,5.042366757835664,0.014138686139204307,109.4,57.7,65.0
408.7,222.2,0.005128330847183429,0.14660441593063095,6.1423671557625195,0.019788772440246523,95.8,19.9,182.2
452.7,135.8,0.010390856015964487,0.00724078125,4.477379142914524,0.011114934140964487,93.4,77.4,28.5
398.7,200.7,0.007345148224507238,0.10297845160328056,5.600186731632379,0.01764299338483529,78.9,37.3,124.2
440.2,155.4,0.010888083524646288,0.011233178750000001,4.476437173054984,0.012011401399646288,107.0,76.0,31.3
378.5,231.1,0.008148490810937877,0.08336599000000003,5.306243494985096,0.016485089810937877,69.2,46.3,107.0
415.0,193.3,0.00936539688121111,0.031155547500000002,4.47409320285866,0.012480951631211112,116.5,71.4,46.2
388.8,263.6,0.004672019794071848,0.14144774625000003,6.169054158635897,0.01881679441907185,73.5,20.0,185.1
437.0,152.0,0.00983185697334907,0.00554957,4.712640916957987,0.01038681397334907,116.6,62.0,28.6
440.5,240.0,0.005937553505388509,0.14254680295639371,5.835409520345911,0.02019223380102788,84.4,25.8,164.3
512.6,160.1,0.011746632147663052,0.02068045,4.727534437093073,0.013814677147663055,110.4,70.0,53.0
