local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83.1,0.0,0.003410958688649651,0.0,2.3616666666666664,0.003410958688649651,72.1,10.0
81.0,72.1,0.004208927574822306,1.5625e-07,1.6711111111111112,0.004208943199822306,14.8,53.7
122.5,86.4,0.0056662322875101504,0.00822277125,1.8983333333333334,0.00648850941251015,52.5,35.8
140.8,85.8,0.006134245553478678,0.00309971125,2.2568888888888887,0.006444216678478679,72.9,40.0
100.7,134.8,0.005076714713626249,0.025461123750000002,2.035133972627494,0.007622827088626249,12.8,40.0
144.8,71.7,0.00612622021096472,0.01483433875,2.033131071826724,0.0076096540859647175,45.2,43.8
143.7,70.2,0.007011499535919394,0.028940995000000004,1.838286709762532,0.009905599035919395,68.5,39.9
125.2,93.5,0.006252746250000001,0.05024943875000001,2.039463615553337,0.011277690125000002,0.0,51.3
168.5,9.4,0.0068362400959367225,0.0,2.068627910610714,0.0068362400959367225,83.7,51.4
107.2,93.1,0.0054182156683899975,0.05482393875000001,1.8109248901976343,0.010900609543389997,37.2,35.4
140.3,47.2,0.008278527758459595,0.006931541249999999,2.305989020319511,0.008971681883459594,21.6,68.5
127.6,51.1,0.00831912375,0.00268336125,2.3202216171242718,0.008587459875,0.0,77.1
155.5,38.2,0.00938088217517423,0.009268593750000002,2.2320381301131986,0.010307741550174231,48.5,78.0
122.4,67.2,0.005976874637342188,0.03375000000000001,2.0832338719497825,0.009351874637342189,17.1,58.0
114.1,54.3,0.0047524591266062555,0.003970653750000001,2.2828092211961737,0.005149524501606256,23.5,51.8
143.0,63.1,0.006330878048822206,0.0171254725,2.196856980047464,0.008043425298822206,42.2,49.0
141.1,69.1,0.006105110150453409,0.01983515375,2.0588595609565745,0.008088625525453409,60.6,49.7
158.0,100.8,0.00695723104359206,0.061193033750000014,2.0456625370776367,0.013076534418592061,57.7,49.5
133.0,73.8,0.006821602379903745,0.028898940000000005,2.2433903311844947,0.009711496379903744,6.1,57.7
140.3,16.3,0.004647526384120637,0.00028372625,2.279744485517741,0.004675899009120637,53.5,47.6
137.4,63.7,0.006190765298607378,0.033768280000000005,2.2756820324344584,0.009567593298607378,15.9,63.9
148.2,38.0,0.007453249658011411,0.007131047500000001,2.2993898798802768,0.00816635440801141,22.4,61.5
138.5,32.6,0.007059734969218986,0.006931541249999999,2.344871135569385,0.007752889094218986,8.5,66.3
193.8,23.4,0.009070433920395766,0.00012977875000000003,2.3244553734061935,0.009083411795395766,48.3,76.9
149.2,67.0,0.00811393375,0.03375000000000001,2.3756267806267806,0.011488933750000003,0.0,74.9
154.3,37.0,0.005893307863778743,0.007699207499999999,2.2727071858372634,0.006663228613778743,19.8,60.3
166.6,30.4,0.008884740083727952,0.00970299,2.2766901007181204,0.009855039083727951,17.3,76.4
179.3,27.9,0.008654152204558337,0.0064721462500000005,2.4253920314208797,0.009301366829558337,17.9,75.3
170.9,28.5,0.007057742453226404,0.0071691737500000005,2.283837492002559,0.007774659828226403,41.2,60.3
167.1,51.8,0.009147371250000001,0.027986645000000004,2.2984547551751184,0.011946035750000002,0.0,77.1
167.4,10.6,0.004959397860981467,2.7e-07,2.3670732543413116,0.004959424860981468,58.2,50.9
140.9,68.2,0.0043142885845219685,0.04337206000000001,2.1929773974202313,0.00865149458452197,33.1,36.7
135.0,50.1,0.005063290632953864,0.01657615375,2.236176305855998,0.006720906007953864,19.1,50.7
139.7,28.5,0.00828106375,0.0,2.517809523809524,0.00828106375,0.0,80.9
155.4,28.5,0.007939876250000002,0.0,2.5236111111111112,0.007939876250000002,0.0,81.1
135.1,28.5,0.007764301483027118,0.0,2.454976967078327,0.007764301483027118,9.0,69.6
165.0,37.5,0.008504617838033853,0.00234953875,2.460808851107856,0.008739571713033852,26.0,71.6
179.5,44.4,0.008991142617820457,0.00592704,2.34460985196006,0.009583846617820456,27.5,74.7
168.2,55.1,0.010039520362912769,0.025996093750000004,2.3300485375028566,0.012639129737912768,25.7,80.0
149.1,53.3,0.009512130000000002,0.021218241250000002,2.460013951479431,0.011633954125000002,0.0,82.8
145.4,27.6,0.006741700094759174,0.0018846100000000005,2.4243475104278023,0.006930161094759175,23.7,61.5
166.3,33.1,0.008144395823641907,0.016640066250000002,2.4707109499087307,0.00980840244864191,21.1,72.2
139.3,30.5,0.006553011258772545,0.011742413750000001,2.391112089630325,0.007727252633772545,26.3,58.4
164.8,35.7,0.010092799439796468,0.0,2.5593133137579063,0.010092799439796468,12.4,84.1
149.0,48.1,0.008269180615197956,0.018813600000000003,2.4310563360646027,0.010150540615197956,2.9,68.5
155.0,15.0,0.005674284770165837,2.4603750000000006e-05,2.4125962302736133,0.005676745145165837,57.5,51.4
119.9,69.8,0.006083530000000001,0.018608670000000004,2.473841858106827,0.007944397000000002,0.0,63.8
152.6,45.2,0.007036715169341676,0.011295035000000002,2.355269804332182,0.008166218669341677,39.7,51.9
158.4,49.1,0.008749326911981985,0.02397532625,2.3597724248227756,0.011146859536981985,31.2,68.3
181.4,40.6,0.006448974021864768,0.03375000000000001,2.3355101354640633,0.00982397402186477,66.4,49.1
133.0,77.0,0.005201605569442826,0.043898120000000006,2.3142609883570207,0.009591417569442828,13.6,48.8
137.4,23.0,0.004716300840564373,0.0,2.4902051936198415,0.004716300840564373,54.4,53.0
108.4,77.4,0.00863761375,0.05031728,2.4698698799001684,0.013669341750000003,0.0,73.7
110.7,23.0,0.007937665,0.00314432,2.5051458728776343,0.008252097000000002,0.0,71.6
