local_queue,uav_queue,energy_user,energy_uav,delay,weightedE
0.0,0.0,0.0,0.0,2.0,0.0
74.7,0.0,0.0008589861861442595,0.0,2.415,0.008589861861442595
68.6,58.7,0.0011998819730564248,0.0,1.530740740740741,0.011998819730564247
121.9,58.7,0.0010498700110030317,0.00635032375,2.0,0.016849023860030315
134.2,71.6,0.0021566120567109216,0.0010382300000000002,1.7357931387608807,0.022604350567109216
137.1,91.3,0.0016445039879897157,0.03317899575773719,1.966620005832604,0.04962403563763435
156.8,69.4,0.0024311101338685597,0.00258257,2.0840599466145036,0.0268936713386856
151.1,119.9,0.0019327808056785912,0.031723783958584356,1.8901326748123477,0.05105159201537027
155.2,134.2,0.0021351703218754157,0.01505477375,2.1362242816244637,0.03640647696875416
143.6,158.3,0.0008152246645001997,0.07832193250000001,1.822465281652277,0.086474179145002
170.9,49.6,0.003205436927648031,0.008620762500000002,2.0558124228833714,0.04067513177648031
173.7,76.9,0.0026253982047603295,0.0014887700000000002,2.127277678748267,0.027742752047603295
123.5,144.2,0.0018093164008030494,0.02342462625,2.226260574631361,0.0415177902580305
139.3,138.8,0.0014436175323851407,0.043958580000000004,2.255717255145844,0.05839475532385142
159.1,80.6,0.002565161280833116,0.02899431617352563,2.250292497625831,0.05464592898185679
151.1,79.9,0.0025280945852861588,0.025230758418453663,2.3514872378992746,0.05051170427131525
168.1,85.0,0.0027776300023465072,0.036359979892608044,2.1855161293472185,0.06413627991607312
149.8,100.6,0.002563388531269659,0.01764678125,2.2301771170980937,0.0432806665626966
169.8,85.1,0.003088985905562655,0.00221445125,2.2936803597081257,0.03310431030562655
129.5,166.4,0.0011235263991309153,0.09947346625,2.047124443483178,0.11070873024130917
191.4,46.4,0.0034804351351842245,0.00121287375,2.184171907782636,0.03601722510184225
173.2,123.3,0.0037790501082716733,0.00268336125,2.499181037717442,0.040473862332716735
177.1,129.5,0.0027243853190406083,0.021751223750000003,2.2139717796392495,0.048995076940406085
141.8,183.4,0.00042549500041966345,0.09353758861508232,1.99792984786598,0.09779253861927895
221.9,21.7,0.0049275129355110855,0.0013659425,2.4264170233967657,0.05064107185511086
188.7,101.2,0.00365885430772202,0.01263680875,2.433618393989355,0.04922535182722021
210.2,131.2,0.004425488564519217,0.05042175485652876,2.4499207523331497,0.09467664050172094
200.9,84.5,0.004464911164162287,3.375e-08,2.4027899814876084,0.044649145391622874
155.6,176.3,0.0019244743271594976,0.12145945503164482,2.119883296861549,0.14070419830323982
169.7,63.1,0.0031373847498165257,0.01657907,2.426283317017977,0.04795291749816526
192.9,76.1,0.004832167557906261,0.0025039000000000007,2.4290578232491087,0.050825575579062615
183.5,125.1,0.0034804241631783807,0.02424110375,2.550656703726875,0.05904534538178381
193.9,119.2,0.003216518992702172,0.05627062160328054,2.2278155040499703,0.08843581153030226
