local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0
170.0,0.0,0.008565613637504136,0.0,2.066666666666667,0.008565613637504136,102.4,42.4,0.0
200.4,102.4,0.008260963920463136,0.05835799250000001,3.2231111111111113,0.014096763170463137,97.6,10.0,102.4
254.3,97.6,0.008856594424120057,0.020714150000000004,3.741166666666666,0.010928009424120057,106.3,10.0,83.8
308.8,120.1,0.011507525453742205,0.012449587500000001,3.0446666666666666,0.012752484203742207,122.0,60.0,54.0
309.7,188.1,0.008688853240948848,0.12977934875000002,3.8624956670972272,0.021666788115948854,86.4,30.0,142.9
335.3,131.6,0.010994545369750894,0.027851746250000003,3.9212567830578147,0.013779719994750894,116.3,40.0,82.9
338.9,165.0,0.009508763312299759,0.06377128125,4.545981168820131,0.01588589143729976,105.8,20.0,145.5
314.0,125.3,0.01174981728814417,0.012777748750000002,3.3728736786910054,0.01302759216314417,114.8,70.0,44.9
291.6,195.2,0.008135635283537467,0.12412566000000003,4.908994305282048,0.020548201283537466,97.5,10.0,166.8
330.0,125.9,0.01150814495148323,0.02348090875,3.7047439009378573,0.013856235826483229,114.8,60.0,62.3
314.8,178.4,0.008347631697820867,0.12849623250000003,4.867497443725607,0.02119725494782087,94.3,10.0,164.4
415.6,108.3,0.011502830920871841,0.01163139625,3.8680363249868384,0.012665970545871841,108.6,60.0,52.7
375.3,164.2,0.008591593611709997,0.11255409125000002,4.779226188455873,0.019847002736709998,90.8,20.0,150.7
430.9,104.3,0.011436437422450004,0.0081000675,3.665617851018962,0.012246444172450004,107.1,70.0,29.4
400.7,182.0,0.008918153153461672,0.12246188125000002,5.422814254607192,0.021164341278461674,111.6,0.0,164.9
369.4,128.7,0.011259618857521405,0.019408140000000008,4.150875951864471,0.013200432857521408,115.1,50.0,69.6
349.0,174.2,0.010983976597031203,0.06752944250000001,4.233978399609002,0.017736920847031205,116.9,50.0,107.2
327.1,183.9,0.008219744985675848,0.09804669625000002,5.196976928536158,0.01802441461067585,95.0,10.0,167.9
386.9,111.0,0.011755734683970846,0.00924650125,3.781293814964247,0.012680384808970846,115.7,70.0,40.1
358.0,186.6,0.008745428381146262,0.11210449625000003,4.743928488298144,0.01995587800614626,89.9,30.0,132.1
385.2,144.4,0.01148553241519166,0.019826890000000003,4.162353199880259,0.013468221415191661,106.7,60.0,62.6
386.1,188.5,0.009972547276591196,0.13254887375,5.592742385522531,0.0232274346515912,127.2,0.0,188.5
476.4,127.2,0.011489879971366409,0.0092974625,4.111818637636459,0.01241962622136641,109.2,60.0,49.0
498.1,187.4,0.010708566228799912,0.11204575750000001,4.92544548475814,0.021913141978799917,122.5,30.0,149.6
532.5,160.3,0.01124323200801634,0.027944552500000004,4.506803201394676,0.014037687258016343,117.5,50.0,80.0
503.1,197.8,0.00948843550035133,0.10209141125000001,5.312371242884424,0.01969757662535133,107.9,20.0,168.7
532.6,137.0,0.011754455450677607,0.010447830000000002,4.080906999215638,0.012799238450677607,107.7,70.0,41.4
