local_queue,uav_queue,energy_user,energy_uav,delay,weightedE
0.0,0.0,0.0,0.0,1.7,0.0
99.4,0.0,0.004133099071785024,0.0,2.352222222222222,0.04133099071785024
125.6,80.3,0.00612953968960035,0.0020170250000000004,1.8148148148148144,0.0633124218960035
110.1,120.7,0.005785981790904263,0.007662473750000001,1.856388888888889,0.06552229165904262
105.2,132.8,0.0034437189257586465,0.03171256875,2.1501160916591853,0.06614975800758648
126.3,95.8,0.006726770633313409,0.016548230000000004,2.247109011845854,0.0838159363331341
161.2,57.2,0.007729216596434651,0.009926550000000003,2.260309829059829,0.08721871596434652
121.8,104.0,0.004273978883297116,0.022825190000000002,2.0468360429390415,0.06556497883297117
125.1,92.1,0.005896379430486209,0.028551633750000006,2.1489610269058894,0.0875154280548621
151.9,87.3,0.00654791,0.048380848750000004,2.089293759700513,0.11385994875000001
203.8,3.4,0.007955392681578653,0.0,2.2715424295761233,0.07955392681578653
188.1,71.1,0.007716069379130504,0.05093060625000001,2.0818413437626995,0.12809130004130503
155.1,58.3,0.007814421163468435,0.0167670125,2.17010340804995,0.09491122413468434
155.4,52.7,0.0076137173973502715,0.012079496250000002,2.1814124527315704,0.08821667022350271
124.6,99.3,0.00497327833385527,0.06750000000000002,2.0152914172584224,0.11723278333855272
104.6,85.4,0.005711585367733561,0.022333273750000004,2.2223601857952224,0.07944912742733562
118.4,61.7,0.006543355061848853,0.01829841,2.192027455071874,0.08373196061848853
124.8,45.4,0.004537669755117208,0.01901111375,2.0360493896747025,0.06438781130117208
115.7,77.5,0.006170569311674715,0.0169295525,2.1143622825572517,0.07863524561674716
126.9,70.9,0.007029248496255469,0.021717473750000004,2.2478810808031655,0.0920099587125547
128.4,70.3,0.006175852324848456,0.03365790875000001,2.19369433214086,0.09541643199848455
145.0,16.6,0.00659119382026298,0.005717870000000001,2.247576499975305,0.0716298082026298
138.0,32.5,0.00788143742096745,0.013129323750000001,2.241449600069271,0.09194369795967451
154.5,34.9,0.006722997210890426,0.017936133750000003,2.123969267197986,0.08516610585890426
129.7,61.2,0.007435964732636381,0.02863288,2.165634063742695,0.10299252732636381
164.2,64.9,0.008915977157697074,0.03375000000000001,2.232419622036935,0.12290977157697075
