local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0
120.4,0.0,0.0006062501664218569,0.0,2.1013333333333337,0.0006062501664218569,72.0,5.3,0.0
169.2,72.0,0.0006218863578783032,0.007625739754001583,3.043555555555556,0.0013844603332784616,41.4,9.1,58.0
313.7,55.4,0.0015153672928970943,0.004325886639608682,3.8474735004292726,0.0019479559568579628,89.3,6.4,39.1
445.4,105.6,0.0041258989545318115,0.002759933011408415,2.8787935081148563,0.0044018922556726525,103.2,46.4,20.6
395.8,188.2,0.0015041281333999946,0.0334008653492658,4.9116351351064385,0.004844214668326575,76.6,5.8,110.0
464.1,154.8,0.0019837388279486537,0.01663620202233621,5.091079008893739,0.003647359030182274,93.7,6.7,98.0
546.4,150.5,0.002598442939914278,0.017220611385624883,5.0497289772067875,0.004320504078476767,106.0,11.8,93.4
567.7,163.1,0.005138666091529289,0.00471093323249609,3.709157911063212,0.005609759414778899,110.2,53.5,24.7
541.7,248.6,0.0021455454740370887,0.046116377430444395,5.7800229924033815,0.006757183217081529,79.4,8.0,129.1
627.9,198.9,0.005550499184044913,0.004900460428211964,4.132291530018007,0.0060405452268661106,107.6,55.8,25.0
649.6,281.5,0.002799721628940043,0.048820232640231116,5.959225535945471,0.007681744892963155,85.9,14.2,122.7
674.6,244.7,0.003154811115135131,0.0378580765773157,6.158595301144838,0.006940618772866701,97.6,15.0,118.2
679.5,224.1,0.005939121149693293,0.002342477321128211,4.217142857142858,0.0061733688818061145,100.6,67.6,12.3
665.8,312.4,0.0021485853547166854,0.06799975169836012,7.141517286295162,0.008948560524552698,89.6,0.0,156.8
688.3,245.2,0.002391444440261588,0.04696106799792805,7.247247666496783,0.007087551240054393,91.3,0.0,141.1
767.5,195.4,0.00685676589931018,0.002060775620760806,4.606185944040537,0.007062843461386262,92.6,71.4,11.8
758.0,276.2,0.002549043887551383,0.06072702602591963,7.520187971808919,0.008621746490143346,95.9,0.0,145.9
866.3,226.2,0.008443528118664917,0.0042443748890468765,5.1216926848058275,0.008867965607569604,111.7,68.5,23.5
855.7,314.4,0.00263287746624089,0.06813057966680205,7.788523117124315,0.009445935432921096,92.8,0.0,158.0
920.6,249.2,0.008529695008161486,0.011107679804301223,6.035345548915349,0.009640462988591607,113.5,50.6,51.0
950.3,311.7,0.007382543856376433,0.03983322983400303,6.531867315376372,0.011365866839776735,107.7,43.2,89.2
1001.6,330.2,0.007972927117359795,0.037938736508558765,6.584778109180635,0.011766800768215673,114.2,45.0,89.7
953.1,354.7,0.008401110091495285,0.027621189771527103,6.39124469314576,0.011163229068647997,105.8,50.9,68.5
902.0,392.0,0.0024499196094048886,0.08399234871736146,8.551538435355226,0.010849154481141035,102.9,0.0,184.0
906.9,310.9,0.004728748252751623,0.04762188934529926,7.913975007584616,0.00949093718728155,112.2,18.3,131.5
898.6,291.6,0.006476853269804954,0.02792890266932328,7.22583420749569,0.009269743536737284,112.6,34.5,91.6
888.3,312.6,0.007590071971893609,0.027127033008715364,6.719059674697519,0.010302775272765147,113.6,50.3,70.2
845.3,356.0,0.002353785676477659,0.07207153868254448,8.875262061094926,0.009560939544732108,104.9,0.0,176.5
835.7,284.4,0.007723233783877374,0.012516427510374167,6.1799606508181455,0.008974876534914791,106.8,65.9,33.8
